Overall Rank,Country,Region,Score,GDP per Capita,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1,Denmark,Western Europe,7.526,1.44178,0.79504,0.57941,0.36171,0.44453
2,Switzerland,Western Europe,7.509,1.52733,0.86303,0.58557,0.28083,0.41203
3,Iceland,Western Europe,7.501,1.42666,0.86733,0.56624,0.47678,0.14975
4,Norway,Western Europe,7.498,1.57744,0.79579,0.59609,0.37895,0.35776
5,Finland,Western Europe,7.413,1.40598,0.81091,0.57104,0.25492,0.41004
6,Canada,North America,7.404,1.44015,0.8276,0.5737,0.44834,0.31329
7,Netherlands,Western Europe,7.339,1.46468,0.81231,0.55211,0.47416,0.29927
8,New Zealand,Australia and New Zealand,7.334,1.36066,0.83096,0.58147,0.49401,0.41904
9,Australia,Australia and New Zealand,7.313,1.44443,0.8512,0.56837,0.47407,0.32331
10,Sweden,Western Europe,7.291,1.45181,0.83121,0.58218,0.38254,0.40867
11,Israel,Middle East and Northern Africa,7.267,1.33766,0.84917,0.36432,0.32288,0.08728
12,Austria,Western Europe,7.119,1.45038,0.80565,0.54355,0.32865,0.21348
13,United States,North America,7.104,1.50796,0.779,0.48163,0.41077,0.14868
14,Costa Rica,Latin America and Caribbean,7.087,1.06879,0.76146,0.55225,0.22553,0.10547
15,Puerto Rico,Latin America and Caribbean,7.039,1.35943,0.77758,0.46823,0.22202,0.12275
16,Germany,Western Europe,6.994,1.44787,0.81487,0.53466,0.30452,0.28551
17,Brazil,Latin America and Caribbean,6.952,1.08754,0.61415,0.40425,0.15776,0.14166
18,Belgium,Western Europe,6.929,1.42539,0.81959,0.51354,0.2424,0.26248
19,Ireland,Western Europe,6.907,1.48341,0.81455,0.54008,0.44963,0.29754
20,Luxembourg,Western Europe,6.871,1.69752,0.84542,0.5487,0.27571,0.35329
21,Mexico,Latin America and Caribbean,6.778,1.11508,0.71143,0.37709,0.11735,0.18355
22,Singapore,Southeastern Asia,6.739,1.64555,0.94719,0.4877,0.32706,0.46987
23,United Kingdom,Western Europe,6.725,1.40283,0.80991,0.50036,0.50156,0.27399
24,Chile,Latin America and Caribbean,6.705,1.2167,0.81883,0.37789,0.31595,0.11451
25,Panama,Latin America and Caribbean,6.701,1.18306,0.70835,0.48927,0.2418,0.08423
26,Argentina,Latin America and Caribbean,6.65,1.15137,0.69711,0.42284,0.10989,0.07296
27,Czech Republic,Central and Eastern Europe,6.596,1.30915,0.76376,0.41418,0.09929,0.03986
28,United Arab Emirates,Middle East and Northern Africa,6.573,1.57352,0.72993,0.56215,0.26591,0.35561
29,Uruguay,Latin America and Caribbean,6.545,1.18157,0.72183,0.54388,0.18056,0.21394
30,Malta,Western Europe,6.488,1.30782,0.80315,0.54994,0.56237,0.17554
31,Colombia,Latin America and Caribbean,6.481,1.03032,0.59659,0.44735,0.15626,0.05399
32,France,Western Europe,6.478,1.39488,0.83795,0.46562,0.1216,0.17808
33,Thailand,Southeastern Asia,6.474,1.0893,0.64915,0.49553,0.58696,0.02833
34,Saudi Arabia,Middle East and Northern Africa,6.379,1.48953,0.59267,0.37904,0.15457,0.30008
34,Taiwan,Eastern Asia,6.379,1.39729,0.79565,0.32377,0.25495,0.0663
36,Qatar,Middle East and Northern Africa,6.375,1.82427,0.71723,0.56679,0.32388,0.48049
37,Spain,Western Europe,6.361,1.34253,0.87896,0.37545,0.17665,0.06137
38,Algeria,Middle East and Northern Africa,6.355,1.05266,0.61804,0.21006,0.07044,0.16157
39,Guatemala,Latin America and Caribbean,6.324,0.83454,0.54039,0.50379,0.28808,0.08701
40,Suriname,Latin America and Caribbean,6.269,1.09686,0.50933,0.52234,0.16665,0.12692
41,Kuwait,Middle East and Northern Africa,6.239,1.61714,0.63569,0.43166,0.15965,0.23669
42,Bahrain,Middle East and Northern Africa,6.218,1.44024,0.65696,0.47375,0.17147,0.25772
43,Trinidad and Tobago,Latin America and Caribbean,6.168,1.32572,0.52608,0.48453,0.31935,0.01241
44,Venezuela,Latin America and Caribbean,6.084,1.13367,0.61904,0.19847,0.0425,0.08304
45,Slovakia,Central and Eastern Europe,6.078,1.27973,0.70367,0.23391,0.13837,0.02947
46,El Salvador,Latin America and Caribbean,6.068,0.8737,0.596,0.37269,0.08877,0.10613
47,Malaysia,Southeastern Asia,6.005,1.25142,0.62366,0.39031,0.41474,0.09081
48,Nicaragua,Latin America and Caribbean,5.992,0.69384,0.65213,0.46582,0.29773,0.16292
49,Uzbekistan,Central and Eastern Europe,5.987,0.73591,0.50163,0.60848,0.34326,0.28333
50,Italy,Western Europe,5.977,1.35495,0.85102,0.18827,0.16684,0.02556
51,Ecuador,Latin America and Caribbean,5.976,0.97306,0.68613,0.4027,0.10074,0.18037
52,Belize,Latin America and Caribbean,5.956,0.87616,0.45569,0.51231,0.23684,0.10771
53,Japan,Eastern Asia,5.921,1.38007,0.91491,0.46761,0.10224,0.18985
54,Kazakhstan,Central and Eastern Europe,5.919,1.22943,0.57386,0.4052,0.15011,0.11132
55,Moldova,Central and Eastern Europe,5.897,0.69177,0.52309,0.25202,0.19997,0.01903
56,Russia,Central and Eastern Europe,5.856,1.23228,0.58991,0.32682,0.02736,0.03586
57,Poland,Central and Eastern Europe,5.835,1.24585,0.69058,0.4519,0.14443,0.055
57,South Korea,Eastern Asia,5.835,1.35948,0.88645,0.25168,0.18824,0.07716
59,Bolivia,Latin America and Caribbean,5.822,0.79422,0.4697,0.50961,0.21698,0.07746
60,Lithuania,Central and Eastern Europe,5.813,1.2692,0.64674,0.18929,0.02025,0.0182
